match_group_id,primary_break_type,order_ids,txn_ids,utrs,expected_outcome,expected_exception_reason,notes
GRP00053,clean,ORD00062,TXN00067,UTR00059,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00054,same_amount_collision,ORD00063|ORD00064,TXN00068|TXN00069,UTR00060|UTR00061,matched,,Equal amount and date collision; narration uniquely identifies both pairs.
GRP00055,clean,ORD00065,TXN00070,UTR00062,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00056,narration_recovery,ORD00066,TXN00071,UTR00063,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00057,duplicate,ORD00067,TXN00072|TXN00073,UTR00064,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00058,clean,ORD00068,TXN00074,UTR00065,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00059,clean,ORD00069,TXN00075,UTR00066,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00060,agent_disagreement,ORD00070,TXN00076,UTR00067,exception,conflicting bank narration,Narration conflicts with the order evidence; proposer and verifier must escalate.
GRP00061,clean,ORD00071,TXN00077,UTR00068,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00062,partial,ORD00072,TXN00078,UTR00069|UTR00070,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00063,clean,ORD00073,TXN00079,UTR00071,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00064,clean,ORD00074,TXN00080,UTR00072,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00065,narration_recovery,ORD00075,TXN00081,UTR00073,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00066,batched,ORD00076|ORD00077,TXN00082|TXN00083,UTR00074,matched,,Multiple gateway transactions combined into one bank credit.
GRP00067,timing_lag,ORD00078,TXN00084,UTR00075,matched,,Settlement arrived T+4 instead of T+2.
GRP00068,clean,ORD00079,TXN00085,UTR00076,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00069,orphan,,,UTR00077,exception,bank credit with no matching order,Standalone bank credit with no ledger or gateway record.
GRP00070,same_amount_collision,ORD00080|ORD00081,TXN00086|TXN00087,UTR00078|UTR00079,matched,,Equal amount and date collision; narration uniquely identifies both pairs.
GRP00071,batched,ORD00082|ORD00083,TXN00088|TXN00089,UTR00080,matched,,Multiple gateway transactions combined into one bank credit.
GRP00072,timing_lag,ORD00084,TXN00090,UTR00081,matched,,Settlement arrived T+5 instead of T+2.
GRP00073,batched,ORD00085|ORD00086|ORD00087,TXN00091|TXN00092|TXN00093,UTR00082,matched,,Multiple gateway transactions combined into one bank credit.
GRP00074,narration_recovery,ORD00088,TXN00094,UTR00083,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00075,clean,ORD00089,TXN00095,UTR00084,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00076,clean,ORD00090,TXN00096,UTR00085,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00077,clean,ORD00091,TXN00097,UTR00086,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00078,duplicate,ORD00092,TXN00098|TXN00099,UTR00087,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00079,clean,ORD00093,TXN00100,UTR00088,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00080,rounding,ORD00094,TXN00101,UTR00089,matched,,Bank settlement differs from gateway net by +2 paise.
GRP00081,narration_recovery,ORD00095,TXN00102,UTR00090,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00082,clean,ORD00096,TXN00103,UTR00091,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00083,rounding,ORD00097,TXN00104,UTR00092,matched,,Bank settlement differs from gateway net by -1 paise.
GRP00084,timing_lag,ORD00098,TXN00105,UTR00093,matched,,Settlement arrived T+5 instead of T+2.
GRP00085,narration_recovery,ORD00099,TXN00106,UTR00094,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00086,partial,ORD00100,TXN00107,UTR00095|UTR00096,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00087,partial,ORD00101,TXN00108,UTR00097|UTR00098,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00088,narration_recovery,ORD00102,TXN00109,UTR00099,matched,,Amount has a documented adjustment beyond deterministic tolerance; narration identifies it.
GRP00089,partial,ORD00103,TXN00110,UTR00100|UTR00101,matched,,One transaction settled in two bank credits whose amounts sum to net.
GRP00090,orphan,,,UTR00102,exception,bank credit with no matching order,Standalone bank credit with no ledger or gateway record.
GRP00091,agent_disagreement,ORD00104,TXN00111,UTR00103,exception,conflicting bank narration,Narration conflicts with the order evidence; proposer and verifier must escalate.
GRP00092,timing_lag,ORD00105,TXN00112,UTR00104,matched,,Settlement arrived T+4 instead of T+2.
GRP00093,duplicate,ORD00106,TXN00113|TXN00114,UTR00105,exception,duplicate transaction reference,Two captured gateway records share an order ID; only the first was settled.
GRP00094,clean,ORD00107,TXN00115,UTR00106,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00095,rounding,ORD00108,TXN00116,UTR00107,matched,,Bank settlement differs from gateway net by -2 paise.
GRP00096,clean,ORD00109,TXN00117,UTR00108,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
GRP00097,batched,ORD00110|ORD00111|ORD00112|ORD00113,TXN00118|TXN00119|TXN00120|TXN00121,UTR00109,matched,,Multiple gateway transactions combined into one bank credit.
GRP00098,same_amount_collision,ORD00114|ORD00115,TXN00122|TXN00123,UTR00110|UTR00111,matched,,Equal amount and date collision; narration uniquely identifies both pairs.
GRP00099,orphan,,,UTR00112,exception,bank credit with no matching order,Standalone bank credit with no ledger or gateway record.
GRP00100,clean,ORD00116,TXN00124,UTR00113,matched,,"Standard one-to-one settlement with fee, GST, and T+2 timing."
